,x,y,z,r,g,b,inlinear_idx
0,-0.27727167598000607,-0.4957594814955668,1.049348712329474,102.5,61.5,82.5,2.0
1,-0.27727167598000607,-0.4957594814955668,1.049348712329474,102.5,61.5,82.5,4.0
2,-0.27727167598000607,-0.4957594814955668,1.049348712329474,102.5,61.5,82.5,11.0
3,-0.2064900006712484,-0.47526316279209657,1.0888201481670667,30.0,124.0,13.0,20.0
4,-0.04243325342905912,-0.46455798162726347,1.1653177236095535,59.0,30.0,42.5,24.0
5,0.03942728571184277,0.4063614153334321,1.15657674791408,86.0,54.5,39.5,28.0
6,-0.2250250921655696,-0.5044422011760882,1.0688147047987209,127.5,88.5,99.0,30.0
7,0.3651179054592433,-0.27434029905572854,1.425947137459692,41.0,8.0,20.5,72.0
8,0.1076263991378616,-0.449470922201366,1.2377130862751144,69.5,36.5,46.0,77.0
9,0.001894414395110966,0.38514208000209893,1.161977838033802,79.0,41.0,39.0,81.0
10,0.20448714875460317,-0.17055426164451792,1.3979261985844642,72.5,5.0,9.0,84.0
11,0.20448714875460317,-0.17055426164451792,1.3979261985844642,72.5,5.0,9.0,87.0
12,-0.013345194977774847,0.3235262441395646,1.1981152484430664,46.0,113.0,86.0,90.0
13,-0.211364797720326,-0.5083272461676672,1.0730954446343324,96.0,63.0,75.5,91.0
14,-0.29023794856773566,-0.3324530612368307,1.1105553997546824,109.0,64.5,72.0,102.0
15,0.14734624436564,0.3833974435733191,1.2009928943001886,0.5,48.5,31.5,118.0
16,0.20283885362877743,0.44500734190713703,1.1754106967163904,54.0,90.0,62.0,126.0
17,-0.031968800907526074,-0.45607164483256785,1.1736643419945831,61.5,32.0,38.5,133.0
18,0.015521590928566597,0.3947184802014246,1.1597449284511512,121.0,65.5,46.0,138.0
19,0.06308854072287348,0.3834109469525769,1.1785116443668686,66.0,44.5,27.0,142.0
20,0.3651179054592433,-0.27434029905572854,1.425947137459692,41.0,8.0,20.5,145.0
21,0.1149961368394169,0.16616638706490303,1.335437899822047,42.5,23.5,3.5,148.0
22,-0.02332007627648234,0.40168072983055975,1.144241666606386,92.0,80.5,125.5,149.0
23,0.12157516893044085,0.1921998902046983,1.3219209154388354,126.5,107.0,52.0,152.0
24,0.2245969316535986,-0.39664595597313873,1.3121412755272397,69.0,20.5,23.5,155.0
25,0.1149961368394169,0.16616638706490303,1.335437899822047,42.5,23.5,3.5,156.0
26,-0.2029969322694866,0.25122126992361504,1.198562850026545,56.0,50.0,10.5,159.0
27,0.11803117767234203,-0.15465818961045727,1.3657053172558662,23.0,110.5,16.0,161.0
28,0.37091200439694566,-0.2703631309192722,1.4302980602187123,31.5,24.5,21.5,162.0
29,-0.2109865939232428,-0.41979978390408473,1.110051800565168,125.5,80.0,80.0,163.0
30,-0.2755245286062289,0.2802626112963309,1.1615028355655128,9.5,119.0,27.0,166.0
31,0.023479698607360315,-0.31192231291410455,1.2585640029014893,80.5,43.0,42.5,173.0
32,0.11803117767234203,-0.15465818961045727,1.3657053172558662,23.0,110.5,16.0,198.0
33,-0.05206863543941244,0.3874823882102332,1.145185546823781,73.5,67.0,5.5,207.0
34,-0.27592157164479464,-0.493245150423688,1.051600510681148,91.5,57.5,66.0,209.0
35,0.06308854072287348,0.3834109469525769,1.1785116443668686,66.0,44.5,27.0,217.0
36,0.301124296131414,-0.18836165717278402,1.4333505821934842,20.0,1.0,17.0,218.0
37,0.12487819840071127,-0.15601518258149089,1.3683461345574484,48.5,7.0,33.0,223.0
38,-0.054644565886789946,0.4080814764226323,1.133052795186751,95.0,88.0,7.5,225.0
39,-0.30637642864554654,-0.48838778007736683,1.0398709480692374,30.5,122.5,1.5,227.0
40,0.12157516893044085,0.1921998902046983,1.3219209154388354,126.5,107.0,52.0,231.0
41,-0.08126223678503228,0.2537245781781467,1.2270568571886493,55.0,91.0,126.0,241.0
42,-0.0903495724943242,0.23784083087170013,1.236740563534661,9.0,120.0,105.0,247.0
43,0.11871563788606851,-0.3133293197017741,1.299923214550942,37.0,23.5,20.0,248.0
