,0,1
0,311,8
1,0,19
2,7,38
3,2,92
4,336,96
5,786,108
6,105,122
7,868,133
8,538,148
9,201,162
10,97,168
11,107,172
12,141,176
13,836,189
14,4,208
15,132,209
16,158,224
17,167,226
18,764,228
19,946,234
20,493,252
21,252,253
22,111,256
23,35,269
24,180,272
25,93,277
26,709,300
27,120,322
28,442,335
29,372,349
30,29,363
31,191,376
32,255,387
33,77,388
34,99,408
35,392,415
36,750,420
37,468,421
38,840,425
39,376,428
40,160,432
41,515,439
42,409,442
43,150,443
44,777,444
45,217,446
46,421,458
47,286,464
48,936,479
49,850,492
50,756,496
51,560,498
52,536,510
53,118,528
54,17,531
55,310,536
56,701,539
57,199,540
58,126,541
59,1102,544
60,259,548
61,805,555
62,438,557
63,391,566
64,854,568
65,699,572
66,478,574
67,736,586
68,738,595
69,773,597
70,1104,601
71,1203,604
72,74,609
73,1012,611
74,413,618
75,431,619
76,250,622
77,347,624
78,113,641
79,846,650
80,49,652
81,133,654
82,464,655
83,303,658
84,368,659
85,1112,685
86,513,689
87,825,690
88,56,692
89,228,695
90,659,696
91,892,701
92,1070,714
93,1017,717
94,788,720
95,304,731
96,520,740
97,408,741
98,745,746
99,244,751
100,153,754
101,668,756
102,481,761
103,1149,763
104,5,768
105,302,769
106,402,770
107,190,771
108,1128,775
109,901,776
110,593,778
111,986,783
112,445,788
113,1002,792
114,1129,799
115,829,800
116,702,813
117,595,818
118,592,819
119,706,821
120,1180,823
121,650,830
122,37,831
123,1229,832
124,838,833
125,261,839
126,1190,840
127,907,844
128,811,847
129,929,860
130,834,861
131,685,864
132,16,867
133,1240,869
134,1059,873
135,19,877
136,98,880
137,1187,890
138,457,895
139,115,905
140,1290,908
141,557,909
142,970,912
143,960,919
144,337,920
145,1182,923
146,495,927
147,1230,931
148,488,934
149,544,936
150,1148,940
151,1100,949
152,384,952
153,865,953
154,664,956
155,1044,963
156,752,976
157,1151,977
158,951,981
159,1095,983
160,473,986
161,782,989
162,616,993
163,508,994
164,309,999
165,194,1000
166,519,1002
167,924,1015
168,852,1017
169,605,1019
170,511,1024
171,938,1033
172,588,1035
173,972,1039
174,722,1040
175,740,1043
176,778,1051
177,804,1056
178,1120,1058
179,436,1060
180,700,1061
181,708,1068
182,1197,1073
183,1204,1079
184,484,1080
185,914,1081
186,858,1082
187,554,1083
188,579,1088
189,971,1092
190,329,1100
191,1252,1101
192,1223,1103
193,279,1113
194,954,1124
195,1202,1126
196,612,1130
197,716,1132
198,922,1135
199,603,1136
200,800,1138
201,890,1147
202,555,1148
203,1040,1152
204,1153,1157
205,1139,1158
206,1258,1160
207,567,1161
208,1063,1162
209,1101,1164
210,498,1168
211,287,1176
212,894,1177
213,382,1182
214,424,1184
215,1191,1185
216,801,1190
217,1143,1193
218,1019,1199
219,957,1200
220,667,1209
221,837,1210
222,990,1215
223,350,1216
224,633,1218
225,383,1222
226,469,1224
227,872,1225
228,955,1227
229,916,1235
230,1292,1236
231,1210,1238
232,977,1239
233,624,1240
234,641,1243
235,962,1257
236,1211,1259
237,1089,1262
238,760,1270
239,359,1271
240,889,1272
241,367,1273
242,874,1280
243,1150,1289
244,744,1293
245,366,1295
246,783,1303
247,497,1309
248,694,1310
249,1235,1332
250,1138,1334
251,1048,1345
252,761,1347
253,932,1349
254,1000,1366
255,1284,1368
256,710,1369
257,1050,1375
258,933,1381
259,161,1384
260,1111,1385
261,1110,1390
262,787,1398
263,813,1413
264,1141,1426
265,1055,1433
266,819,1438
267,262,1446
268,696,1453
269,808,1457
270,1279,1461
271,1087,1469
