,3dp,train1,train2
0,7,23,38
1,359,600,96
2,109,200,122
3,579,953,148
4,99,180,168
5,112,203,172
6,146,271,176
7,0,6,206
8,4,19,208
9,137,251,209
10,167,306,224
11,834,1330,228
12,533,883,252
13,116,208,256
14,191,336,272
15,349,584,273
16,95,176,277
17,772,1231,300
18,930,1481,313
19,85,160,314
20,123,226,322
21,393,658,349
22,32,69,363
23,203,357,376
24,74,144,388
25,416,691,415
26,500,823,421
27,398,665,428
28,551,912,439
29,439,730,442
30,158,287,443
31,854,1356,444
32,226,393,446
33,300,506,464
34,1051,1651,479
35,933,1484,492
36,826,1315,496
37,599,983,498
38,200,354,501
39,577,950,510
40,19,49,531
41,761,1215,539
42,209,367,540
43,132,242,541
44,1290,2010,544
45,882,1401,555
46,414,689,566
47,939,1491,568
48,759,1211,572
49,515,850,574
50,802,1278,586
51,804,1280,595
52,850,1350,597
53,1298,2023,601
54,1450,2258,604
55,72,141,609
56,462,766,619
57,258,385,622
58,372,622,624
59,117,211,641
60,928,1477,650
61,50,105,652
62,138,252,654
63,498,820,655
64,317,533,658
65,389,653,659
66,298,504,661
67,711,1142,669
68,1308,2042,685
69,904,1435,690
70,56,116,692
71,234,412,695
72,717,1148,696
73,997,1573,701
74,1241,1931,714
75,1165,1817,717
76,865,1372,720
77,318,534,731
78,557,919,740
79,438,729,741
80,812,1294,746
81,254,438,751
82,160,294,754
83,518,853,761
84,1360,2121,763
85,5,20,768
86,316,531,769
87,425,709,770
88,202,356,771
89,1333,2079,775
90,1010,1593,776
91,638,1037,778
92,482,798,782
93,1118,1751,783
94,475,785,788
95,1142,1786,792
96,825,1314,795
97,1334,2080,799
98,909,1442,800
99,313,527,801
100,925,1471,805
101,764,1218,813
102,641,1042,818
103,636,1034,819
104,1416,2201,823
105,705,1134,830
106,36,84,831
107,1497,2353,832
108,269,463,839
109,1430,2223,840
110,1018,1604,844
111,888,1409,847
112,1329,2074,856
113,913,1450,861
114,18,48,867
115,1224,1907,873
116,22,54,877
117,100,181,880
118,487,806,895
119,119,215,905
120,1601,2550,908
121,595,976,909
122,1102,1726,912
123,1090,1706,919
124,360,601,920
125,1419,2205,923
126,536,887,927
127,1498,2354,931
128,583,961,936
129,1359,2120,940
130,1288,2005,949
131,406,677,952
132,962,1525,953
133,722,1154,956
134,1207,1882,963
135,289,490,966
136,821,1306,976
137,1362,2123,977
138,330,554,980
139,1074,1686,981
140,1282,1993,983
141,509,840,986
142,860,1363,989
143,667,1073,993
144,546,903,994
145,326,543,999
146,204,361,1000
147,556,918,1002
148,965,1528,1012
149,1035,1629,1015
150,937,1489,1017
151,655,1059,1019
152,548,908,1024
153,748,1196,1026
154,1054,1656,1033
155,631,1024,1035
156,1104,1730,1039
157,782,1249,1040
158,1159,1811,1042
159,807,1284,1043
160,855,1358,1051
161,1316,2055,1058
162,469,774,1060
163,760,1212,1061
164,770,1227,1068
165,1442,2241,1073
166,999,1575,1078
167,1451,2260,1079
168,521,859,1080
169,1025,1614,1081
170,950,1506,1082
171,593,973,1083
172,619,1009,1088
173,1103,1729,1092
174,1392,2166,1099
175,348,582,1100
176,1533,2416,1101
177,1484,2321,1103
178,293,495,1113
179,1078,1692,1124
180,1449,2257,1126
181,662,1068,1130
182,777,1240,1132
183,1033,1626,1135
184,653,1057,1136
185,877,1391,1138
186,435,726,1141
187,698,1120,1145
188,995,1571,1147
189,1172,1828,1154
190,1366,2128,1157
191,1541,2435,1160
192,606,991,1161
193,1231,1917,1162
194,539,890,1168
195,1238,1927,1175
196,301,507,1176
197,1000,1576,1177
198,404,675,1182
199,452,752,1184
200,1431,2224,1185
201,878,1392,1190
202,528,877,1195
203,1167,1820,1199
204,1086,1701,1200
205,1094,1710,1204
206,725,1158,1209
207,917,1457,1210
208,1123,1758,1215
209,375,625,1216
210,686,1100,1218
211,405,676,1222
212,504,833,1224
213,976,1542,1225
214,1079,1693,1227
215,1114,1744,1232
216,1607,2563,1236
217,1109,1739,1239
218,677,1087,1240
219,697,1119,1243
220,1210,1887,1252
221,1093,1709,1257
222,1275,1982,1262
223,1084,1699,1269
224,830,1322,1270
225,381,636,1271
226,994,1570,1272
227,978,1545,1280
228,1361,2122,1289
229,387,649,1295
230,861,1364,1303
231,538,889,1309
232,753,1201,1310
233,1510,2377,1332
234,1346,2097,1334
235,791,1262,1337
236,1603,2555,1342
237,1209,1886,1345
238,831,1324,1347
239,1045,1642,1349
240,1543,2437,1358
241,1139,1780,1366
242,1591,2525,1368
243,1212,1889,1375
244,1046,1643,1381
245,171,313,1384
246,1307,2041,1385
247,991,1566,1389
248,1304,2036,1390
249,864,1371,1398
250,1507,2365,1399
251,1402,2178,1405
252,486,805,1417
253,346,579,1422
254,1221,1900,1433
255,898,1423,1438
256,270,464,1446
257,1461,2278,1449
258,755,1206,1453
259,885,1404,1457
260,1581,2503,1461
261,921,1467,1466
262,1272,1976,1469
